FRT_FID	TEQ_NUMMER
1	1100100013
2	1100100065
3	1100100106
4	1100100114
5	1100100029
6	1100100110
7	1100100019
8	1100100104
9	1100100069
10	1100100118
12	1100100077
13	1100100053
14	1100100033
15	1100100102
16	1100100092
17	1100100025
18	1100100045
19	1100100023
20	1100100051
21	1100100112
22	1100100100
23	1100100073
24	1100100031
25	1100100057
26	1100100094
27	1100100055
28	1100100079
29	1100100120
30	1100100027
31	1100100063
32	1100100021
33	1100100061
34	1100100037
35	1100100043
36	1100100108
37	1100100116
38	1100100071
39	1100100081
40	1100100098
41	1100100083
42	1100100090
43	1100100017
44	1100100015
45	1100100067
46	1100100059
47	1100100039
48	1100100041
49	1100100035
50	1100100096
51	1100100049
52	1100100075
53	6100100008
54	6100100020
55	6100100080
56	6100100047
57	6100100057
58	6100100034
59	6100100084
60	6100100086
61	6100100010
62	6100100036
63	6100100038
64	6100100030
65	6100100018
66	6100100012
67	6100100049
68	6100100076
69	6100100094
70	6100100102
71	6100100088
72	6100100061
73	6100100022
74	6100100014
75	6100100074
76	6100100006
77	6100100104
78	6100100063
79	6100100055
80	6100100072
81	6100100016
82	6100100026
83	6100100082
84	6100100028
85	6100100068
86	6100100098
87	6100100040
88	6100100053
89	6100100090
90	6100100078
91	6100100059
92	6100100051
93	6100100070
94	6100100024
95	1100100121
96	1100100089
97	1100100026
98	1100100056
99	1100100024
100	1100100103
101	1100100072
102	1100100087
103	1100100034
104	1100100082
105	1100100054
106	1100100012
107	1100100078
108	1100100030
109	1100100095
110	1100100064
111	1100100014
112	1100100097
113	1100100016
114	1100100093
115	1100100022
116	1100100107
117	1100100032
118	1100100028
119	1100100113
120	1100100076
121	1100100105
122	1100100018
123	1100100115
124	1100100074
125	1100100111
126	1100100068
127	1100100099
128	1100100020
129	1100100070
130	1100100038
131	1100100062
132	1100100119
133	1100100109
134	1100100058
135	1100100042
136	1100100060
137	1100100050
138	1100100040
139	1100100091
140	1100100117
141	1100100044
142	1100100080
143	1100100066
144	1100100052
145	1100100036
146	1100100101
147	6100100095
148	6100100050
149	6100100079
150	6100100005
151	6100100035
152	6100100103
153	6100100062
154	6100100033
155	6100100013
156	6100100039
